"Supplier Name","Supplier Account","Currency","Settlement Date","Reference","ID","Issue Date","Due Date","Type","Counterparty Name","Discount ID","Activity Type","Remit Type","Remit No","Remit Date","Pay Date","Invoice Tenor","Net Amount","Gross Amount","Adj Amount","Disc Amount","PO No","Doc No","Comment","Adj Code","Add. Info.","Base Rate(%)","Spread Rate(%)","Discount Rate(%)","Discount Tenor","CM Adjusted","CM Adjusted Net Amount","Fee","Charge","Proceeds","Add. Info."
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","MP195W200322","2020-03-22","2020-06-22","92","1753.60","1753.60","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","1753.60","0.00","7.89","1745.71",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","TR8935200322","2020-03-22","2020-06-22","92","1918.72","1918.72","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","1918.72","0.00","8.63","1910.09",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","JQ983S200322","2020-03-22","2020-06-22","92","1668.32","1668.32","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","1668.32","0.00","7.51","1660.81",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","WB188U200322","2020-03-22","2020-06-22","92","2049.51","2049.51","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","2049.51","0.00","9.22","2040.29",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","WG273N200322","2020-03-22","2020-06-22","92","2569.69","2569.69","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","2569.69","0.00","11.56","2558.13",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","AA871M200322","2020-03-22","2020-06-22","92","1393.77","1393.77","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","1393.77","0.00","6.27","1387.50",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","AH305Q200322","2020-03-22","2020-06-22","92","1809.81","1809.81","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","1809.81","0.00","8.14","1801.67",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","DP3026200322","2020-03-22","2020-06-22","92","2659.03","2659.03","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","2659.03","0.00","11.97","2647.06",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SM242N200322","2020-03-22","2020-06-22","92","2406.19","2406.19","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","2406.19","0.00","10.83","2395.36",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","KK021C200322","2020-03-22","2020-06-22","92","2268.59","2268.59","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","2268.59","0.00","10.21","2258.38",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","DG186U200322","2020-03-22","2020-06-22","92","1578.72","1578.72","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","1578.72","0.00","7.10","1571.62",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_18","51319488","2020-04-09","2020-06-22","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","MS812M200322","2020-03-22","2020-06-22","92","2189.18","2189.18","0.00","0.00","","","","","","1.22","1.00","2.22","73","0.00","2189.18","0.00","9.85","2179.33",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","MP195W200329","2020-03-29","2020-06-29","92","1596.56","1596.56","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1596.56","0.00","7.87","1588.69",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","GG135M200329","2020-03-29","2020-06-29","92","2910.76","2910.76","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","2910.76","0.00","14.35","2896.41",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","JB453N200329","2020-03-29","2020-06-29","92","513.89","513.89","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","513.89","0.00","2.53","511.36",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","WG273N200329","2020-03-29","2020-06-29","92","2580.31","2580.31","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","2580.31","0.00","12.72","2567.59",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","TR8935200329","2020-03-29","2020-06-29","92","1593.58","1593.58","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1593.58","0.00","7.86","1585.72",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SH0853200329","2020-03-29","2020-06-29","92","1229.39","1229.39","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1229.39","0.00","6.06","1223.33",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","BB518J200329","2020-03-29","2020-06-29","92","1181.34","1181.34","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1181.34","0.00","5.83","1175.51",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","WB188U200329","2020-03-29","2020-06-29","92","1185.63","1185.63","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1185.63","0.00","5.85","1179.78",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","DP3026200329","2020-03-29","2020-06-29","92","2660.60","2660.60","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","2660.60","0.00","13.12","2647.48",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","DW3564200329","2020-03-29","2020-06-29","92","1908.22","1908.22","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1908.22","0.00","9.41","1898.81",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_19","51319489","2020-04-09","2020-06-29","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","EP7683200329","2020-03-29","2020-06-29","92","1664.68","1664.68","0.00","0.00","","","","","","1.22","1.00","2.22","80","0.00","1664.68","0.00","8.21","1656.47",""
